coordinates,name,description,htmldescription,alertlevel,alertscore,episodealertlevel,episodealertscore,country,fromdate,todate,severity,severitytext,source,iso3,eventtype,GDACS ID,People affected,Countries,Start Date - Last detection,Duration (days),Burned area
"[105.65993703583405, 17.33516236486571]",Forest fires in Laos,Forest fires in Laos,Green Forest fires in Laos from: 23 Feb 2021 to: 23 Mar 2021.,Green,1,GREEN,1.0,Laos,2021-02-23T00:00:00,2021-03-23T00:00:00,5070.0,Green impact for forestfire in 5070 ha,GWIS,LAO,WF,WF 1000144,0 in the burned area,Laos,23 Feb 2021  - 23 Mar 2021 ,28,5070 ha
"[85.87540845200718, 22.856787081945416]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 25 Feb 2021 to: 11 Mar 2021.,Green,1,GREEN,1.0,India,2021-02-25T00:00:00,2021-03-11T00:00:00,9866.0,Green impact for forestfire in 9866 ha,GWIS,IND,WF,WF 1000128,35445 in the burned area,India,25 Feb 2021  - 11 Mar 2021 ,14,9866 ha
"[-71.36269750866799, -43.81358967631298]",Forest fires in Argentina,Forest fires in Argentina,Green Forest fires in Argentina from: 25 Feb 2021 to: 08 Mar 2021.,Green,1,GREEN,1.0,Argentina,2021-02-25T00:00:00,2021-03-08T00:00:00,5326.0,Green impact for forestfire in 5326 ha,GWIS,ARG,WF,WF 1000127,0 in the burned area,Argentina,25 Feb 2021  - 08 Mar 2021 ,11,5326 ha
"[97.22677860810091, 22.268083571693115]",Forest fires in Myanmar,Forest fires in Myanmar,Green Forest fires in Myanmar from: 23 Feb 2021 to: 08 Mar 2021.,Green,1,GREEN,1.0,Myanmar,2021-02-23T00:00:00,2021-03-08T00:00:00,5353.0,Green impact for forestfire in 5353 ha,GWIS,MMR,WF,WF 1000143,0 in the burned area,Myanmar,23 Feb 2021  - 08 Mar 2021 ,13,5353 ha
"[82.75055007046873, 20.166615046302795]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 23 Feb 2021 to: 07 Mar 2021.,Green,1,GREEN,1.0,India,2021-02-23T00:00:00,2021-03-07T00:00:00,7572.0,Green impact for forestfire in 7572 ha,GWIS,IND,WF,WF 1000142,8550 in the burned area,India,23 Feb 2021  - 07 Mar 2021 ,12,7572 ha
"[75.4700632660462, 21.31260057973661]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 20 Feb 2021 to: 07 Mar 2021.,Green,1,GREEN,1.0,India,2021-02-20T00:00:00,2021-03-07T00:00:00,5330.0,Green impact for forestfire in 5330 ha,GWIS,IND,WF,WF 1000154,0 in the burned area,India,20 Feb 2021  - 07 Mar 2021 ,15,5330 ha
"[85.929085829406, 21.268938313524355]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 19 Feb 2021 to: 07 Mar 2021.,Green,1,GREEN,1.0,India,2021-02-19T00:00:00,2021-03-07T00:00:00,65662.0,Green impact for forestfire in 65662 ha,GWIS,IND,WF,WF 1000156,95313 in the burned area,India,19 Feb 2021  - 07 Mar 2021 ,16,65662 ha
"[82.38763318055246, 20.247173955335917]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 24 Feb 2021 to: 07 Mar 2021.,Green,1,GREEN,1.0,India,2021-02-24T00:00:00,2021-03-07T00:00:00,21008.0,Green impact for forestfire in 21008 ha,GWIS,IND,WF,WF 1000136,0 in the burned area,India,24 Feb 2021  - 07 Mar 2021 ,11,21008 ha
"[85.06683260225303, 20.269118977729153]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 23 Feb 2021 to: 07 Mar 2021.,Green,1,GREEN,1.0,India,2021-02-23T00:00:00,2021-03-07T00:00:00,8178.0,Green impact for forestfire in 8178 ha,GWIS,IND,WF,WF 1000145,0 in the burned area,India,23 Feb 2021  - 07 Mar 2021 ,12,8178 ha
"[85.4665975372224, 22.70821711617075]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 27 Feb 2021 to: 07 Mar 2021.,Green,1,GREEN,1.0,India,2021-02-27T00:00:00,2021-03-07T00:00:00,10690.0,Green impact for forestfire in 10690 ha,GWIS,IND,WF,WF 1000107,56605 in the burned area,India,27 Feb 2021  - 07 Mar 2021 ,8,10690 ha
"[79.42059869966897, 19.479360848700328]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 26 Feb 2021 to: 07 Mar 2021.,Green,1,GREEN,1.0,India,2021-02-26T00:00:00,2021-03-07T00:00:00,7088.0,Green impact for forestfire in 7088 ha,GWIS,IND,WF,WF 1000118,0 in the burned area,India,26 Feb 2021  - 07 Mar 2021 ,9,7088 ha
"[84.8309169970708, 21.606085879099513]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 26 Feb 2021 to: 07 Mar 2021.,Green,1,GREEN,1.0,India,2021-02-26T00:00:00,2021-03-07T00:00:00,9668.0,Green impact for forestfire in 9668 ha,GWIS,IND,WF,WF 1000121,0 in the burned area,India,26 Feb 2021  - 07 Mar 2021 ,9,9668 ha
"[84.40133360405112, 19.89418329988957]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 26 Feb 2021 to: 07 Mar 2021.,Green,1,GREEN,1.0,India,2021-02-26T00:00:00,2021-03-07T00:00:00,15691.0,Green impact for forestfire in 15691 ha,GWIS,IND,WF,WF 1000122,5342 in the burned area,India,26 Feb 2021  - 07 Mar 2021 ,9,15691 ha
"[85.6707405545642, 22.587898752955507]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 27 Feb 2021 to: 07 Mar 2021.,Green,1,GREEN,1.0,India,2021-02-27T00:00:00,2021-03-07T00:00:00,7068.0,Green impact for forestfire in 7068 ha,GWIS,IND,WF,WF 1000109,20453 in the burned area,India,27 Feb 2021  - 07 Mar 2021 ,8,7068 ha
"[82.58239173984906, 19.673438882152286]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 27 Feb 2021 to: 07 Mar 2021.,Green,1,GREEN,1.0,India,2021-02-27T00:00:00,2021-03-07T00:00:00,5391.0,Green impact for forestfire in 5391 ha,GWIS,IND,WF,WF 1000110,0 in the burned area,India,27 Feb 2021  - 07 Mar 2021 ,8,5391 ha
"[85.50452640639134, 21.380095548412292]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 26 Feb 2021 to: 07 Mar 2021.,Green,1,GREEN,1.0,India,2021-02-26T00:00:00,2021-03-07T00:00:00,6185.0,Green impact for forestfire in 6185 ha,GWIS,IND,WF,WF 1000111,0 in the burned area,India,26 Feb 2021  - 07 Mar 2021 ,9,6185 ha
"[77.85607577362146, 14.135363626098572]",Forest fires in India,Forest fires in India,Green Forest fires in India from: 26 Feb 2021 to: 07 Mar 2021.,Green,1,GREEN,1.0,India,2021-02-26T00:00:00,2021-03-07T00:00:00,5879.0,Green impact for forestfire in 5879 ha,GWIS,IND,WF,WF 1000112,3 in the burned area,India,26 Feb 2021  - 07 Mar 2021 ,9,5879 ha
